YEAR,TAXON,STATUS,COUNT,PROVINCE
2012,Reptiles,ENDANGERED,19,NL
2014,Fishes,EXTINCT,25,SK
2011,Amphibians,ENDANGERED,44,YT
2011,Lichens,SPECIAL CONCERN,30,PE
2019,Vascular Plants,THREATENED,49,ON
2019,Reptiles,ENDANGERED,23,BC
2016,Amphibians,THREATENED,14,NU
2016,Reptiles,ENDANGERED,14,NL
2014,Mammals,EXTIRPATED,36,AB
2010,Amphibians,ENDANGERED,4,ON
2013,Mosses,THREATENED,11,QC
2016,Molluscs,SPECIAL CONCERN,41,NU
2012,Mosses,EXTIRPATED,10,SK
2011,Arthropods,ENDANGERED,41,SK
2013,Mosses,THREATENED,32,ON
2018,Vascular Plants,SPECIAL CONCERN,23,SK
2014,Molluscs,SPECIAL CONCERN,45,AB
2019,Mosses,SPECIAL CONCERN,2,MB
2017,Arthropods,SPECIAL CONCERN,2,YT
2014,Lichens,EXTIRPATED,47,NT
2019,Birds,SPECIAL CONCERN,50,ON
2010,Mammals,EXTIRPATED,34,ON
2015,Reptiles,ENDANGERED,3,AB
2014,Birds,EXTIRPATED,34,BC
2017,Molluscs,SPECIAL CONCERN,14,NU
2011,Reptiles,EXTIRPATED,29,YT
2017,Molluscs,EXTINCT,46,NS
2019,Fishes,EXTIRPATED,12,NL
2010,Lichens,EXTINCT,7,QC
2010,Molluscs,EXTINCT,28,NB
2015,Birds,SPECIAL CONCERN,10,BC
2013,Arthropods,ENDANGERED,21,MB
2019,Mosses,SPECIAL CONCERN,3,NT
2014,Fishes,EXTINCT,40,MB
2019,Arthropods,THREATENED,43,AB
2014,Vascular Plants,SPECIAL CONCERN,13,NL
2017,Mosses,SPECIAL CONCERN,38,MB
2017,Vascular Plants,ENDANGERED,5,AB
2016,Fishes,EXTIRPATED,36,ON
2018,Reptiles,ENDANGERED,22,NS
2016,Amphibians,THREATENED,13,MB
2010,Reptiles,THREATENED,7,AB
2011,Vascular Plants,THREATENED,40,NS
2012,Mammals,THREATENED,45,BC
2012,Arthropods,THREATENED,42,SK
2016,Reptiles,ENDANGERED,28,AB
2010,Fishes,ENDANGERED,14,BC
2011,Amphibians,THREATENED,41,MB
2018,Mosses,ENDANGERED,42,SK
2013,Mosses,ENDANGERED,32,YT
2010,Fishes,EXTIRPATED,7,PE
2018,Arthropods,EXTIRPATED,50,AB
2016,Mammals,SPECIAL CONCERN,33,SK
2018,Lichens,THREATENED,14,BC
2016,Birds,EXTINCT,40,QC
2013,Birds,EXTIRPATED,33,NL
2019,Vascular Plants,SPECIAL CONCERN,46,BC
2013,Amphibians,ENDANGERED,48,BC
2013,Arthropods,ENDANGERED,45,BC
2012,Fishes,EXTINCT,21,MB
2012,Birds,THREATENED,13,BC
2016,Arthropods,ENDANGERED,31,AB
2014,Arthropods,ENDANGERED,8,PE
2012,Mosses,ENDANGERED,8,QC
2011,Mosses,EXTINCT,24,NT
2013,Mammals,EXTINCT,15,PE
2012,Molluscs,EXTIRPATED,38,NB
2010,Arthropods,ENDANGERED,22,MB
2012,Vascular Plants,THREATENED,43,ON
2014,Molluscs,ENDANGERED,28,NT
2016,Reptiles,SPECIAL CONCERN,6,BC
2019,Birds,EXTIRPATED,5,ON
2012,Lichens,ENDANGERED,14,YT
2013,Vascular Plants,EXTINCT,8,NL
2011,Arthropods,THREATENED,18,AB
2015,Amphibians,ENDANGERED,17,NU
2012,Fishes,EXTIRPATED,27,YT
2011,Lichens,ENDANGERED,15,QC
2011,Vascular Plants,THREATENED,2,QC
2016,Lichens,THREATENED,5,AB
2018,Lichens,EXTINCT,2,BC
2019,Fishes,THREATENED,33,PE
2016,Vascular Plants,THREATENED,14,NT
2011,Fishes,EXTINCT,14,PE
2016,Mosses,SPECIAL CONCERN,44,PE
2015,Amphibians,EXTINCT,31,NU
2013,Molluscs,SPECIAL CONCERN,23,NL
2011,Mammals,ENDANGERED,16,BC
2015,Mosses,THREATENED,40,NS
2016,Birds,SPECIAL CONCERN,17,NL
2010,Reptiles,THREATENED,18,NL
2019,Arthropods,SPECIAL CONCERN,23,NT
2018,Fishes,SPECIAL CONCERN,36,YT
2013,Fishes,ENDANGERED,49,BC
2010,Lichens,EXTINCT,4,PE
2016,Molluscs,ENDANGERED,12,YT
2016,Molluscs,SPECIAL CONCERN,33,BC
2014,Vascular Plants,THREATENED,11,ON
2014,Lichens,ENDANGERED,43,QC
2014,Lichens,EXTIRPATED,43,NS
2011,Vascular Plants,ENDANGERED,17,AB
2013,Reptiles,THREATENED,30,AB
2017,Molluscs,EXTIRPATED,27,NS
2014,Reptiles,THREATENED,43,MB
2013,Reptiles,EXTIRPATED,11,NT
2012,Mosses,EXTINCT,46,NU
2011,Molluscs,ENDANGERED,7,YT
2014,Molluscs,ENDANGERED,27,YT
2015,Lichens,EXTINCT,16,NT
2015,Mammals,EXTINCT,40,NL
2013,Molluscs,SPECIAL CONCERN,15,NS
2010,Fishes,SPECIAL CONCERN,4,SK
2010,Arthropods,ENDANGERED,28,NS
2012,Mammals,EXTIRPATED,32,NB
2012,Amphibians,SPECIAL CONCERN,5,AB
2016,Fishes,THREATENED,31,PE
2016,Birds,THREATENED,43,NS
2019,Amphibians,THREATENED,29,AB
2019,Vascular Plants,THREATENED,13,PE
2018,Vascular Plants,EXTIRPATED,11,NU
2013,Fishes,EXTINCT,12,SK
2010,Arthropods,EXTIRPATED,45,NL
2013,Molluscs,SPECIAL CONCERN,50,YT
2018,Mammals,EXTIRPATED,23,BC
2010,Arthropods,EXTIRPATED,18,YT
2017,Fishes,EXTIRPATED,30,SK
2017,Reptiles,THREATENED,45,NB
2010,Mosses,EXTIRPATED,11,QC
2016,Molluscs,SPECIAL CONCERN,10,NB
2011,Birds,ENDANGERED,1,MB
2016,Arthropods,ENDANGERED,14,NB
2019,Amphibians,SPECIAL CONCERN,42,QC
2012,Arthropods,EXTIRPATED,19,NU
2018,Fishes,EXTIRPATED,27,NS
2014,Arthropods,THREATENED,49,SK
2018,Lichens,THREATENED,12,PE
2019,Arthropods,THREATENED,25,MB
2011,Lichens,SPECIAL CONCERN,3,NT
2016,Mosses,THREATENED,26,BC
2019,Molluscs,EXTINCT,45,NB
2018,Reptiles,EXTIRPATED,14,QC
2014,Birds,EXTINCT,38,NS
2015,Mosses,ENDANGERED,8,NS
2018,Arthropods,ENDANGERED,34,SK
2012,Fishes,EXTINCT,16,NU
2012,Lichens,SPECIAL CONCERN,44,NS
2016,Lichens,ENDANGERED,18,AB
2019,Birds,EXTIRPATED,33,NT
2015,Molluscs,EXTIRPATED,14,ON
2015,Lichens,THREATENED,11,NS
2018,Mammals,SPECIAL CONCERN,28,ON
2010,Arthropods,ENDANGERED,3,NL
2018,Reptiles,ENDANGERED,24,SK
2018,Arthropods,THREATENED,25,PE
2011,Mammals,EXTINCT,19,NT
2012,Arthropods,EXTINCT,46,NT
2015,Mammals,EXTINCT,44,PE
2016,Fishes,SPECIAL CONCERN,35,ON
2013,Mammals,THREATENED,29,MB
2015,Vascular Plants,ENDANGERED,1,QC
2015,Molluscs,EXTIRPATED,14,MB
2019,Amphibians,THREATENED,14,SK
2012,Lichens,EXTIRPATED,36,NB
2012,Vascular Plants,EXTIRPATED,27,ON
2018,Molluscs,SPECIAL CONCERN,17,AB
2017,Birds,ENDANGERED,33,BC
2014,Mosses,EXTINCT,12,NL
2012,Birds,EXTIRPATED,23,SK
2018,Lichens,SPECIAL CONCERN,36,SK
2012,Fishes,ENDANGERED,2,SK
2014,Lichens,SPECIAL CONCERN,5,BC
2014,Birds,ENDANGERED,33,NU
2017,Birds,ENDANGERED,4,NB
2018,Mammals,ENDANGERED,19,QC
2013,Lichens,ENDANGERED,49,AB
2019,Birds,SPECIAL CONCERN,48,NB
2018,Molluscs,SPECIAL CONCERN,35,QC
2013,Molluscs,SPECIAL CONCERN,14,ON
2017,Molluscs,SPECIAL CONCERN,1,QC
2011,Amphibians,EXTIRPATED,49,NL
2016,Lichens,EXTIRPATED,48,AB
2017,Arthropods,THREATENED,23,ON
2013,Molluscs,EXTIRPATED,32,YT
2010,Molluscs,EXTIRPATED,26,QC
2017,Lichens,ENDANGERED,27,QC
2010,Lichens,EXTINCT,35,SK
2011,Mosses,EXTIRPATED,7,PE
2013,Mosses,THREATENED,23,NU
2018,Amphibians,ENDANGERED,8,ON
2019,Vascular Plants,SPECIAL CONCERN,47,NL
2012,Reptiles,EXTIRPATED,28,YT
2014,Arthropods,EXTIRPATED,37,MB
2018,Vascular Plants,EXTINCT,3,QC
2010,Molluscs,THREATENED,23,MB
2017,Mosses,EXTIRPATED,30,NB
2014,Amphibians,EXTIRPATED,19,NS
2015,Mammals,SPECIAL CONCERN,10,SK
2017,Vascular Plants,SPECIAL CONCERN,18,PE
2018,Mammals,EXTIRPATED,5,NU
2013,Molluscs,ENDANGERED,5,YT
2013,Mammals,EXTINCT,43,YT
2015,Amphibians,ENDANGERED,9,NL
2017,Reptiles,EXTIRPATED,27,NU
2018,Reptiles,ENDANGERED,27,BC
2015,Vascular Plants,SPECIAL CONCERN,18,MB
2014,Mosses,SPECIAL CONCERN,15,NB
2016,Lichens,SPECIAL CONCERN,5,SK
2015,Molluscs,THREATENED,15,ON
2018,Vascular Plants,THREATENED,42,PE
2012,Lichens,SPECIAL CONCERN,32,SK
2012,Arthropods,THREATENED,36,PE
2010,Mammals,ENDANGERED,35,YT
2012,Mammals,SPECIAL CONCERN,45,QC
2017,Birds,ENDANGERED,17,MB
2010,Birds,EXTINCT,34,NB
2013,Birds,ENDANGERED,34,YT
2011,Arthropods,EXTIRPATED,5,AB
2019,Mammals,THREATENED,49,YT
2011,Molluscs,EXTIRPATED,28,SK
2013,Lichens,SPECIAL CONCERN,2,PE
2014,Mosses,EXTINCT,15,NB
2016,Mosses,THREATENED,4,QC
2018,Fishes,ENDANGERED,23,YT
2019,Mosses,THREATENED,46,QC
2013,Mammals,SPECIAL CONCERN,14,ON
2012,Mosses,EXTIRPATED,36,NT
2018,Mosses,ENDANGERED,46,NU
2015,Mosses,SPECIAL CONCERN,36,YT
2011,Molluscs,ENDANGERED,7,NL
2019,Amphibians,SPECIAL CONCERN,10,NL
2015,Fishes,ENDANGERED,27,ON
2017,Molluscs,EXTINCT,12,YT
2017,Birds,ENDANGERED,1,NL
2017,Arthropods,SPECIAL CONCERN,17,BC
2010,Mosses,SPECIAL CONCERN,35,NU
2012,Vascular Plants,SPECIAL CONCERN,28,QC
2018,Reptiles,EXTINCT,22,PE
2011,Mosses,THREATENED,17,NB
2011,Fishes,EXTINCT,41,QC
2018,Reptiles,EXTINCT,29,SK
2013,Molluscs,EXTIRPATED,44,MB
2011,Lichens,EXTINCT,21,QC
2010,Reptiles,EXTIRPATED,13,NS
2010,Mammals,EXTIRPATED,27,NS
2018,Amphibians,EXTIRPATED,23,NT
2015,Fishes,EXTINCT,27,BC
2015,Mosses,SPECIAL CONCERN,7,BC
2010,Lichens,THREATENED,37,NT
2014,Reptiles,EXTIRPATED,17,NU
2014,Reptiles,ENDANGERED,3,NB
2013,Vascular Plants,ENDANGERED,31,YT
2015,Amphibians,ENDANGERED,11,YT
2010,Arthropods,THREATENED,31,NS
2014,Vascular Plants,EXTIRPATED,18,NB
2014,Birds,SPECIAL CONCERN,21,NL
2018,Molluscs,ENDANGERED,31,NS
2017,Arthropods,EXTINCT,2,YT
2017,Molluscs,ENDANGERED,46,BC
2019,Mammals,THREATENED,11,NB
2012,Birds,EXTINCT,17,NS
2018,Vascular Plants,SPECIAL CONCERN,12,NT
2016,Birds,EXTIRPATED,46,BC
2014,Arthropods,EXTINCT,22,NT
2011,Lichens,EXTIRPATED,8,NB
2018,Vascular Plants,EXTIRPATED,35,PE
2017,Birds,ENDANGERED,39,NS
2017,Amphibians,SPECIAL CONCERN,29,NB
2018,Birds,EXTIRPATED,19,QC
2017,Amphibians,THREATENED,12,ON
2013,Molluscs,EXTINCT,10,PE
2012,Mosses,EXTINCT,6,NL
2016,Mammals,EXTIRPATED,7,NL
2013,Arthropods,THREATENED,21,NB
2019,Mosses,ENDANGERED,46,NL
2013,Arthropods,SPECIAL CONCERN,19,AB
2018,Lichens,SPECIAL CONCERN,44,YT
2010,Birds,THREATENED,33,NB
2019,Vascular Plants,ENDANGERED,10,PE
2010,Mosses,THREATENED,11,NB
2014,Lichens,EXTIRPATED,4,NB
2010,Arthropods,ENDANGERED,18,NU
2018,Birds,ENDANGERED,32,NS
2015,Fishes,EXTIRPATED,45,QC
2015,Amphibians,THREATENED,10,NU
2012,Arthropods,ENDANGERED,21,BC
2015,Arthropods,EXTIRPATED,23,BC
2010,Amphibians,EXTINCT,16,MB
2016,Mammals,SPECIAL CONCERN,29,NU
2018,Molluscs,SPECIAL CONCERN,19,ON
2017,Molluscs,ENDANGERED,13,MB
2018,Fishes,ENDANGERED,39,NB
2012,Mosses,ENDANGERED,11,SK
2014,Molluscs,SPECIAL CONCERN,45,MB
2015,Mammals,EXTIRPATED,45,PE
2010,Mosses,THREATENED,31,PE
2017,Reptiles,ENDANGERED,45,NU
2018,Fishes,SPECIAL CONCERN,45,QC
2013,Reptiles,EXTINCT,3,NT
2016,Birds,THREATENED,40,NU
2011,Amphibians,EXTINCT,28,NT
2018,Lichens,EXTIRPATED,25,NB
2014,Fishes,ENDANGERED,6,ON
2010,Lichens,SPECIAL CONCERN,13,PE
2014,Lichens,ENDANGERED,42,NU
2012,Amphibians,THREATENED,48,NB
2018,Amphibians,EXTINCT,14,NT
2019,Mammals,SPECIAL CONCERN,42,ON
2014,Fishes,EXTIRPATED,5,PE
2017,Arthropods,EXTIRPATED,2,BC
2015,Fishes,EXTIRPATED,27,AB
2010,Birds,SPECIAL CONCERN,18,ON
2017,Mammals,ENDANGERED,46,ON
2016,Fishes,EXTINCT,5,NS
2015,Amphibians,EXTINCT,33,ON
2014,Mosses,ENDANGERED,2,AB
2015,Lichens,THREATENED,4,NU
2014,Birds,EXTIRPATED,11,NS
2015,Vascular Plants,EXTINCT,5,YT
2019,Amphibians,EXTINCT,41,NS
2015,Vascular Plants,SPECIAL CONCERN,47,SK
2012,Arthropods,THREATENED,14,ON
2012,Fishes,EXTINCT,16,BC
2011,Vascular Plants,EXTINCT,29,SK
2017,Mosses,EXTINCT,11,ON
2016,Mammals,EXTIRPATED,6,NT
2014,Fishes,THREATENED,32,PE
2016,Mammals,EXTINCT,18,PE
2014,Fishes,THREATENED,20,NB
2010,Amphibians,THREATENED,25,NU
2012,Reptiles,EXTIRPATED,3,BC
2019,Vascular Plants,EXTIRPATED,45,NS
2010,Amphibians,ENDANGERED,3,MB
2018,Mammals,SPECIAL CONCERN,30,MB
2010,Amphibians,SPECIAL CONCERN,7,NT
2018,Reptiles,THREATENED,22,BC
2012,Amphibians,EXTINCT,21,BC
2013,Molluscs,EXTIRPATED,38,NU
2012,Amphibians,SPECIAL CONCERN,14,ON
2013,Fishes,ENDANGERED,8,NL
2015,Mosses,EXTIRPATED,38,PE
2015,Birds,EXTIRPATED,39,AB
2012,Mammals,SPECIAL CONCERN,1,MB
2018,Vascular Plants,ENDANGERED,16,QC
2014,Amphibians,EXTIRPATED,44,NL
2013,Arthropods,THREATENED,30,AB
2019,Vascular Plants,ENDANGERED,39,QC
2014,Molluscs,EXTINCT,21,NU
2011,Fishes,THREATENED,28,MB
2015,Mammals,THREATENED,46,NT
2012,Birds,EXTIRPATED,45,NT
2017,Molluscs,SPECIAL CONCERN,8,MB
2011,Lichens,EXTIRPATED,3,NS
2011,Amphibians,ENDANGERED,4,PE
2011,Molluscs,THREATENED,21,NS
2017,Arthropods,EXTINCT,28,NL
2013,Mammals,THREATENED,16,YT
2016,Arthropods,SPECIAL CONCERN,48,NL
2013,Mosses,EXTINCT,4,ON
2016,Reptiles,EXTIRPATED,33,ON
2012,Molluscs,SPECIAL CONCERN,5,NU
2012,Fishes,EXTINCT,49,NB
2015,Mammals,ENDANGERED,32,AB
2018,Arthropods,EXTINCT,48,YT
2019,Lichens,EXTIRPATED,7,BC
2011,Fishes,EXTINCT,50,AB
2018,Amphibians,EXTINCT,32,ON
2016,Mammals,ENDANGERED,33,NB
2017,Molluscs,THREATENED,45,BC
2013,Amphibians,EXTIRPATED,5,QC
2017,Amphibians,SPECIAL CONCERN,38,NS
2011,Lichens,SPECIAL CONCERN,24,NU
2013,Lichens,ENDANGERED,46,QC
2013,Mosses,SPECIAL CONCERN,36,YT
2017,Birds,THREATENED,17,NL
2010,Lichens,SPECIAL CONCERN,29,QC
2014,Fishes,THREATENED,6,NL
2013,Mammals,SPECIAL CONCERN,33,BC
2013,Arthropods,EXTIRPATED,13,AB
2013,Lichens,EXTIRPATED,35,NT
2019,Fishes,THREATENED,34,MB
2017,Fishes,EXTIRPATED,12,NL
2016,Molluscs,EXTIRPATED,31,NL
2013,Vascular Plants,THREATENED,28,BC
2014,Lichens,ENDANGERED,42,NT
2013,Amphibians,ENDANGERED,48,NB
2018,Lichens,ENDANGERED,23,ON
2012,Mammals,EXTIRPATED,40,MB
2016,Amphibians,EXTINCT,2,NT
2017,Vascular Plants,THREATENED,39,QC
2011,Mammals,SPECIAL CONCERN,25,AB
2013,Fishes,EXTIRPATED,49,MB
2016,Arthropods,SPECIAL CONCERN,44,BC
2017,Mosses,THREATENED,29,NT
2012,Mosses,EXTINCT,31,NT
2014,Molluscs,EXTINCT,45,MB
2010,Mosses,EXTIRPATED,23,PE
2010,Mosses,SPECIAL CONCERN,43,YT
2016,Arthropods,THREATENED,20,PE
2018,Fishes,EXTINCT,23,AB
2014,Birds,EXTIRPATED,15,PE
2017,Vascular Plants,EXTIRPATED,41,NB
2011,Arthropods,SPECIAL CONCERN,30,NL
2011,Mammals,EXTINCT,43,NB
2014,Molluscs,EXTINCT,7,SK
2016,Fishes,EXTINCT,34,MB
2011,Molluscs,THREATENED,7,AB
2016,Arthropods,THREATENED,30,NL
2015,Fishes,ENDANGERED,47,SK
2014,Mammals,EXTINCT,32,NS
2012,Reptiles,THREATENED,32,MB
2010,Reptiles,SPECIAL CONCERN,29,NL
2019,Lichens,ENDANGERED,24,YT
2017,Arthropods,THREATENED,11,NL
2012,Amphibians,SPECIAL CONCERN,41,NS
2015,Amphibians,THREATENED,28,MB
2019,Fishes,EXTIRPATED,5,PE
2012,Molluscs,SPECIAL CONCERN,18,NT
2018,Molluscs,EXTIRPATED,44,QC
2013,Mammals,EXTINCT,32,SK
2013,Molluscs,EXTINCT,44,QC
2018,Mosses,SPECIAL CONCERN,11,NT
2017,Arthropods,SPECIAL CONCERN,28,NL
2014,Reptiles,EXTIRPATED,25,QC
2010,Molluscs,EXTIRPATED,5,MB
2011,Mosses,EXTIRPATED,41,NB
2012,Fishes,SPECIAL CONCERN,32,NL
2015,Mosses,EXTIRPATED,31,NT
2012,Fishes,THREATENED,29,ON
2014,Lichens,THREATENED,32,PE
2015,Mosses,EXTIRPATED,32,MB
2012,Amphibians,ENDANGERED,33,QC
2013,Mosses,EXTIRPATED,5,MB
2011,Arthropods,ENDANGERED,18,MB
2017,Mosses,EXTIRPATED,19,NT
2011,Lichens,EXTIRPATED,17,NU
2019,Mosses,THREATENED,11,BC
2016,Fishes,ENDANGERED,10,YT
2011,Fishes,EXTIRPATED,43,NB
2018,Lichens,EXTIRPATED,19,NU
2015,Mammals,SPECIAL CONCERN,39,NL
2013,Reptiles,THREATENED,48,QC
2016,Birds,EXTINCT,46,PE
2018,Mammals,SPECIAL CONCERN,19,NU
2016,Fishes,THREATENED,22,NS
2011,Molluscs,EXTIRPATED,13,NT
2010,Lichens,EXTINCT,23,NS
2017,Lichens,ENDANGERED,22,PE
2015,Reptiles,THREATENED,43,ON
2010,Fishes,THREATENED,3,MB
2012,Lichens,THREATENED,14,MB
2018,Amphibians,ENDANGERED,10,SK
2018,Vascular Plants,EXTINCT,41,MB
2011,Mammals,EXTIRPATED,11,NL
2014,Molluscs,ENDANGERED,12,NL
2010,Vascular Plants,EXTIRPATED,17,NT
2016,Molluscs,EXTIRPATED,50,NS
2015,Amphibians,SPECIAL CONCERN,31,NU
2012,Molluscs,SPECIAL CONCERN,2,NB
2017,Birds,THREATENED,12,ON
2018,Mammals,ENDANGERED,38,NU
2018,Reptiles,EXTIRPATED,9,ON
2014,Mammals,ENDANGERED,24,BC
2010,Molluscs,SPECIAL CONCERN,12,AB
2015,Birds,EXTINCT,39,ON
2017,Lichens,EXTINCT,47,QC
2010,Mosses,SPECIAL CONCERN,7,NS
2014,Mammals,ENDANGERED,11,ON
2019,Molluscs,SPECIAL CONCERN,6,MB
2018,Fishes,EXTIRPATED,20,AB
2018,Lichens,EXTINCT,31,NS
2012,Vascular Plants,ENDANGERED,36,QC
2017,Molluscs,EXTINCT,5,NB
2010,Lichens,EXTIRPATED,1,NS
2016,Molluscs,SPECIAL CONCERN,14,SK
2012,Reptiles,EXTIRPATED,15,MB
2012,Mammals,ENDANGERED,45,NT
2016,Vascular Plants,ENDANGERED,16,NB
2013,Mammals,SPECIAL CONCERN,8,NT
2019,Mammals,SPECIAL CONCERN,16,QC
2013,Reptiles,EXTINCT,6,NU
2018,Vascular Plants,EXTINCT,29,NL
2014,Fishes,EXTINCT,32,PE
2017,Birds,ENDANGERED,12,YT
2010,Lichens,ENDANGERED,37,PE
2019,Birds,SPECIAL CONCERN,42,AB
2016,Birds,THREATENED,18,AB
2012,Vascular Plants,EXTINCT,19,NS
2018,Molluscs,THREATENED,35,NS
2019,Reptiles,ENDANGERED,29,MB
2014,Arthropods,EXTIRPATED,44,NB
2011,Mammals,THREATENED,30,NL
2010,Molluscs,THREATENED,35,ON
2016,Amphibians,SPECIAL CONCERN,14,PE
2015,Arthropods,ENDANGERED,32,QC
2018,Mammals,EXTIRPATED,42,NL
2015,Arthropods,EXTINCT,13,ON
2015,Mosses,THREATENED,34,YT
2016,Mosses,SPECIAL CONCERN,30,ON
2015,Reptiles,EXTIRPATED,31,PE
2017,Vascular Plants,THREATENED,42,ON
2011,Lichens,ENDANGERED,18,BC
2017,Mammals,SPECIAL CONCERN,7,NL
2016,Arthropods,ENDANGERED,40,NL
2017,Mammals,EXTIRPATED,8,AB
2017,Birds,EXTINCT,21,YT
2010,Arthropods,EXTINCT,7,NL
2011,Birds,EXTINCT,6,YT
2013,Amphibians,SPECIAL CONCERN,34,ON
2013,Fishes,THREATENED,4,NT
